Tabela,Data,Kurs średni,Zmiana
168/A/NBP/2020,2020-08-28,3.6983,-0.81
167/A/NBP/2020,2020-08-27,3.7286,0.05
166/A/NBP/2020,2020-08-26,3.7269,0.34
165/A/NBP/2020,2020-08-25,3.7144,-0.35
164/A/NBP/2020,2020-08-24,3.7273,0.29
163/A/NBP/2020,2020-08-21,3.7164,0
162/A/NBP/2020,2020-08-20,3.7164,1.18
161/A/NBP/2020,2020-08-19,3.6732,-0.44
160/A/NBP/2020,2020-08-18,3.6895,-0.49
159/A/NBP/2020,2020-08-17,3.7076,-0.41
158/A/NBP/2020,2020-08-14,3.7227,0.14
157/A/NBP/2020,2020-08-13,3.7176,-1.02
156/A/NBP/2020,2020-08-12,3.7558,0.45
155/A/NBP/2020,2020-08-11,3.739,-0.01
154/A/NBP/2020,2020-08-10,3.7393,0.24
153/A/NBP/2020,2020-08-07,3.7302,0.17
152/A/NBP/2020,2020-08-06,3.724,0.26
151/A/NBP/2020,2020-08-05,3.7143,-0.59
150/A/NBP/2020,2020-08-04,3.7364,-0.36
149/A/NBP/2020,2020-08-03,3.7499,0.9
148/A/NBP/2020,2020-07-31,3.7166,-1.02
147/A/NBP/2020,2020-07-30,3.7549,-0.16
146/A/NBP/2020,2020-07-29,3.761,0.21
145/A/NBP/2020,2020-07-28,3.7532,-0.29
144/A/NBP/2020,2020-07-27,3.7643,-1.02
143/A/NBP/2020,2020-07-24,3.8029,-0.08
142/A/NBP/2020,2020-07-23,3.806,-1.23
141/A/NBP/2020,2020-07-22,3.8534,-0.72
140/A/NBP/2020,2020-07-21,3.8812,-0.47
139/A/NBP/2020,2020-07-20,3.8997,-0.68
138/A/NBP/2020,2020-07-17,3.9263,-0.4
137/A/NBP/2020,2020-07-16,3.9422,0.78
136/A/NBP/2020,2020-07-15,3.9117,-1.14
135/A/NBP/2020,2020-07-14,3.957,0.02
134/A/NBP/2020,2020-07-13,3.9564,-0.21
133/A/NBP/2020,2020-07-10,3.9646,0.41
132/A/NBP/2020,2020-07-09,3.9486,-0.45
131/A/NBP/2020,2020-07-08,3.9666,-0.06
130/A/NBP/2020,2020-07-07,3.9689,0.26
129/A/NBP/2020,2020-07-06,3.9588,-0.44
128/A/NBP/2020,2020-07-03,3.9764,0.6
127/A/NBP/2020,2020-07-02,3.9528,-0.16
126/A/NBP/2020,2020-07-01,3.9591,-0.54
125/A/NBP/2020,2020-06-30,3.9806,0.38
124/A/NBP/2020,2020-06-29,3.9656,-0.1
123/A/NBP/2020,2020-06-26,3.9697,0.19
122/A/NBP/2020,2020-06-25,3.9623,0.58
121/A/NBP/2020,2020-06-24,3.9395,0.21
120/A/NBP/2020,2020-06-23,3.9311,-0.9
119/A/NBP/2020,2020-06-22,3.9667,-0.19
118/A/NBP/2020,2020-06-19,3.9741,0.38
117/A/NBP/2020,2020-06-18,3.9589,0.14
116/A/NBP/2020,2020-06-17,3.9532,1.21
115/A/NBP/2020,2020-06-16,3.9058,-0.9
114/A/NBP/2020,2020-06-15,3.9413,0.29
113/A/NBP/2020,2020-06-12,3.9299,0.3
112/A/NBP/2020,2020-06-10,3.918,-0.69
111/A/NBP/2020,2020-06-09,3.9453,0.65
110/A/NBP/2020,2020-06-08,3.9197,-0.05
109/A/NBP/2020,2020-06-05,3.9217,-0.9
108/A/NBP/2020,2020-06-04,3.9573,1.16
107/A/NBP/2020,2020-06-03,3.9121,-0.46
106/A/NBP/2020,2020-06-02,3.9303,-0.95
105/A/NBP/2020,2020-06-01,3.968,-0.88
104/A/NBP/2020,2020-05-29,4.0031,-0.53
103/A/NBP/2020,2020-05-28,4.0244,-0.64
102/A/NBP/2020,2020-05-27,4.0504,-0.93
101/A/NBP/2020,2020-05-26,4.0885,-1.31
100/A/NBP/2020,2020-05-25,4.1428,-0.18
99/A/NBP/2020,2020-05-22,4.1503,0.38
98/A/NBP/2020,2020-05-21,4.1346,-0.66
97/A/NBP/2020,2020-05-20,4.1619,-0.06
96/A/NBP/2020,2020-05-19,4.1645,-1.37
95/A/NBP/2020,2020-05-18,4.2224,0.21
94/A/NBP/2020,2020-05-15,4.2135,-0.32
93/A/NBP/2020,2020-05-14,4.2269,0.38
92/A/NBP/2020,2020-05-13,4.2111,0.04
91/A/NBP/2020,2020-05-12,4.2095,-0.07
90/A/NBP/2020,2020-05-11,4.2126,0.15
89/A/NBP/2020,2020-05-08,4.2065,-0.23
88/A/NBP/2020,2020-05-07,4.2162,0.33
87/A/NBP/2020,2020-05-06,4.2022,0.23
86/A/NBP/2020,2020-05-05,4.1927,0.67
85/A/NBP/2020,2020-05-04,4.1646,-0.2
84/A/NBP/2020,2020-04-30,4.1729,-0.19
83/A/NBP/2020,2020-04-29,4.1807,-0.08
82/A/NBP/2020,2020-04-28,4.184,0.35
81/A/NBP/2020,2020-04-27,4.1696,-1.06
80/A/NBP/2020,2020-04-24,4.2142,0.12
79/A/NBP/2020,2020-04-23,4.2093,0.86
78/A/NBP/2020,2020-04-22,4.1736,-0.1
77/A/NBP/2020,2020-04-21,4.1779,0.61
76/A/NBP/2020,2020-04-20,4.1525,-0.86
75/A/NBP/2020,2020-04-17,4.1886,0.61
74/A/NBP/2020,2020-04-16,4.1631,0.27
73/A/NBP/2020,2020-04-15,4.1519,-0.35
72/A/NBP/2020,2020-04-14,4.1666,0.24
71/A/NBP/2020,2020-04-10,4.1566,-0.43
70/A/NBP/2020,2020-04-09,4.1744,-0.14
69/A/NBP/2020,2020-04-08,4.1801,0.2
68/A/NBP/2020,2020-04-07,4.1717,-1.28
67/A/NBP/2020,2020-04-06,4.2257,-0.33
66/A/NBP/2020,2020-04-03,4.2396,1.14
65/A/NBP/2020,2020-04-02,4.1917,0.52
64/A/NBP/2020,2020-04-01,4.1701,0.57
63/A/NBP/2020,2020-03-31,4.1466,1.3
62/A/NBP/2020,2020-03-30,4.0933,-0.47
61/A/NBP/2020,2020-03-27,4.1127,-2.05
60/A/NBP/2020,2020-03-26,4.1988,-0.55
59/A/NBP/2020,2020-03-25,4.222,-0.47
58/A/NBP/2020,2020-03-24,4.2421,-0.55
57/A/NBP/2020,2020-03-23,4.2654,0.6
56/A/NBP/2020,2020-03-20,4.24,-0.05
55/A/NBP/2020,2020-03-19,4.2421,4.1
54/A/NBP/2020,2020-03-18,4.0749,0.71
53/A/NBP/2020,2020-03-17,4.046,3.13
52/A/NBP/2020,2020-03-16,3.9231,0.42
51/A/NBP/2020,2020-03-13,3.9067,1.1
50/A/NBP/2020,2020-03-12,3.8642,1.19
